date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:58	744/744	---MCZ	200	added ('OK')	text/plain	date:Sun,%2009%20Feb%202020%2014:35:03%20GMT	https://www.fouda.com/robots.txt		(from )
22:02:59	187878/187878	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Mar%202022%2020:02:58%20GMT	https://www.fouda.com/	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/index.html	(from )
22:02:59	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.fouda.com/)
22:02:59	16530/16530	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2001%20May%202019%2019:58:44%20GMT	https://www.fouda.com/sites/default/files/favicon_1.ico	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/sites/default/files/favicon_1.ico	(from https://www.fouda.com/)
22:03:00	693/693	---MCZ	200	added ('OK')	application/json	date:Wed,%2016%20Mar%202022%2013:18:28%20GMT	https://www.fouda.com/sites/default/files/pwa/manifest.json	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/sites/default/files/pwa/manifest.json	(from https://www.fouda.com/)
22:03:00	5428/5428	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2014:35:03%20GMT	https://www.fouda.com/modules/system/system.base.css?r0s5u5	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/modules/system/system.baseca84.css	(from https://www.fouda.com/)
22:03:00	2035/2035	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2014:35:03%20GMT	https://www.fouda.com/modules/system/system.menus.css?r0s5u5	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/modules/system/system.menusca84.css	(from https://www.fouda.com/)
22:03:00	961/961	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2014:35:03%20GMT	https://www.fouda.com/modules/system/system.messages.css?r0s5u5	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/modules/system/system.messagesca84.css	(from https://www.fouda.com/)
22:03:00	3711/3711	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2014:35:03%20GMT	https://www.fouda.com/modules/system/system.theme.css?r0s5u5	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/modules/system/system.themeca84.css	(from https://www.fouda.com/)
22:03:01	184/184	---MCZ	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2014:35:03%20GMT	https://www.fouda.com/modules/comment/comment.css?r0s5u5	C:/Users/Abdulrahman%20Ismael/Desktop/fouda/fouda/www.fouda.com/modules/comment/commentca84.css	(from https://www.fouda.com/)
